,market_num,x_1,x_2,w_1,w_2,xi_1,xi_2,omega_1,omega_2,duo_pi_1,duo_pi_2,job_array_num
0,1,4.749738024870009,5.16484126905318,2.7666684316446464,1.3972618895901863,-1.6152225828810085,-1.1540196819529744,0.35,0.35,0.3268761764634718,2.237195491307098,1
1,2,4.723538799923244,5.844032213881297,2.9778493291323955,0.4681343589999859,-1.6650209279652972,-0.01602281116691852,-0.05,-0.05,0.2829389769724795,5.300312381791826,2
2,3,4.672287432611976,4.108295800691456,0.7231824797769063,0.4528632505644897,-0.6774929017071234,-0.9659712540074366,-0.05,0.35,2.167940443194352,0.9740566915447713,3
3,4,6.5493274119587905,4.07619305342621,2.542493564669539,1.3893429854576285,-0.8923140886465606,-0.18750282830014914,-0.05,0.35,2.6875335551134176,0.9108760353345793,4
4,5,4.54875726201861,6.597432640736665,0.7528189542243294,0.5304533442744126,0.08368974039333038,1.3409887340815303,-0.05,0.35,0.7328411610338228,4.929464880400934,5
5,6,4.127314183261736,4.025531272928572,0.8466295065879736,0.26772224564910896,2.0046491160881503,-0.11980138128511233,-0.05,0.35,3.8109758005535,0.8183064581786463,6
6,7,5.405308279312235,6.188610405250883,1.7869417292204448,2.3575381341125845,0.8518376192040935,-2.5716211800440627,-0.05,0.35,4.88532344887462,0.3655139851429867,7
7,8,5.83521661101525,5.242289654364445,1.137346877984509,2.955699275781927,0.8282877087869498,-1.3790849941417176,0.35,0.35,5.680113126028769,0.23868118209418565,8
8,9,6.372393664447147,4.326716067226605,0.4702607531084332,1.645512625171834,-1.5243217220649334,-2.5820768116740935,0.35,0.35,3.9159242179668974,0.2044069431184039,9
9,10,4.073154486272531,5.584783747386005,2.29525239278208,1.485718965997894,2.0493970649663122,-0.46663322192064594,-0.05,-0.05,2.1902865683916195,1.5436467544281367,10
10,11,4.546709512450023,4.998830504911511,0.8840597936439047,2.5317746738569973,0.12145854910959342,1.1636728376733976,-0.05,-0.05,1.498719515501516,2.1942588917805574,11
11,12,5.758310527300989,4.36850844595635,0.2977969411135767,2.294230796048696,-1.0934264127774596,3.630146111253169,-0.05,-0.05,0.8856114936331068,4.0946298999879565,12
12,13,4.545274569219568,6.481217173029208,0.8064584905527477,0.5472221692610459,-0.8481825428930065,-1.7783139720307934,-0.05,-0.05,1.1292294129767297,2.463961856098538,13
13,14,5.9492818950658926,5.51336222348704,1.5532232302557256,2.556028257226262,-0.278207621559992,2.594744131918066,-0.05,-0.05,1.0851446603767818,3.439730346310247,14
14,15,4.401622703649516,4.383494467793465,1.0390771251630442,1.484676298926459,2.322989805208,4.409871667992462,0.35,0.35,1.110834026449731,3.4977854025005275,15
15,16,6.570746375616405,4.183352525689195,1.9763461483447355,1.0279789562366766,-2.3217537059687117,0.1025633959976105,-0.05,0.35,1.4839611867977935,1.632928907857365,16
16,17,5.270211034018338,4.702692297468083,1.63831615127015,1.582379768476918,2.6630951156487366,0.6762944691295755,-0.05,-0.05,4.282856929013026,0.8640426232914393,17
17,18,4.037235628378007,5.640403718642519,1.253844820969497,1.0167021683419606,-0.08641538816261835,0.6007753688700807,-0.05,0.35,0.8851063860841535,3.440415086374877,18
18,19,4.145899230083451,4.227260549333558,2.6831234086949,2.1762331828789137,-1.2306868823699255,0.1183254340260804,-0.05,0.35,0.639548071609656,1.6673007923161975,19
19,20,4.8045609544324,5.10974689165049,2.8663172487307476,2.7117105813704856,0.9262981734072728,0.3358508266429368,0.35,-0.05,1.1620414983863854,2.158633662087122,20
20,21,4.2534914835952655,6.330987173151247,0.2724368794193647,2.75082579602918,-0.45035869110361026,0.6640476264248338,-0.05,0.35,1.2355979217903443,2.386642941107941,21
21,22,5.71827943152636,4.414270931100928,2.2072383218262086,1.6012510457912474,-0.10316804866506643,-1.0839722317850724,-0.05,-0.05,3.0563622171294096,0.7769838184754776,22
22,23,6.116573153758466,4.780607559093321,1.6112248388517592,0.9271733821965921,0.1428568472710255,-0.3482222610258363,0.35,-0.05,2.54211205541099,1.276383546156342,23
23,24,6.59092477852743,4.108836144795877,0.990310491751186,0.5601192652189034,0.2931556081322718,-1.3248160693760789,0.35,0.35,5.356255553579862,0.4312226541759485,24
24,25,6.453530919978642,6.5040201374827085,2.200988464167519,1.3861983013353503,2.2441839281326645,-0.33379436492986025,0.35,0.35,3.5025011126620544,1.0742146215980877,25
25,26,6.889434417522416,5.510347063818204,2.8708750016143285,2.462725202001031,0.6550331919689081,-0.9808529161829324,0.35,-0.05,3.019286842245857,0.9468639280962896,26
26,27,4.270212225112719,4.465575463933186,1.6004129567346894,1.582317805447008,-0.6195949037983284,2.6832409372821346,0.35,0.35,0.49773840355540777,4.972551237512725,27
27,28,6.0389914008476016,4.870548988285855,1.6431034865871657,1.7153188869845986,-2.1605041540202796,-1.665460211023365,-0.05,-0.05,1.7831043780505387,1.0214387538582175,28
28,29,6.019069773764649,5.898363476752211,2.169949153985921,1.9590047473128143,-2.5716711820554576,0.713954948453546,-0.05,-0.05,0.5172694830040303,4.676279574025525,29
29,30,4.882575107221483,5.122552024859783,1.6395676873243454,1.9180015272339181,1.3273219063876749,-2.0706426191342433,-0.05,0.35,5.007288118956346,0.338997497069335,30
30,31,6.563863415734696,6.986895595373703,2.8005734622128657,2.549756067153997,0.3453167933330148,0.06674312713177773,-0.05,0.35,2.209444673384657,1.6069582559442521,31
31,32,5.87198761501435,5.54834700817481,0.819082480394522,0.9022238913454972,-1.2533117624045194,0.18464515017788516,-0.05,-0.05,1.2701149196887633,2.6659586607813432,32
32,33,4.183368827734244,5.82214587685802,0.05180785931936693,1.203271161556159,0.43228023884053857,0.0756550565194482,-0.05,0.35,1.559327205614586,2.1669654397377807,33
33,34,4.276783331982192,5.258147306477059,2.2677378109306856,2.6897509960392476,-0.5725189520939383,1.9844180128731468,0.35,0.35,0.46631739658211124,3.9885408498573787,34
34,35,6.395101573111505,5.694793534568798,0.956728923855009,2.8421583620611934,-0.19750253375427015,-1.821393699157692,0.35,0.35,5.061591981238154,0.2903484049667422,35
35,36,5.170041744910784,5.070868155869485,1.9271663585460619,2.9044941395020794,1.4469158845762584,0.06905848237218591,0.35,0.35,3.8580378831605158,0.6163421665383013,36
